id,Name,Barcode,Manufactorer,Amount,GS1 Form,Food-Grade,Material,Colour
8816,Kværn m. groft salt,7311310041427,Santa Maria,455 g,bottle,true,plastic,clear
8819,Brombærmarmelade,5701211012596,Den Gamle Fabrik,380 g,jar,true,glass,clear
8820,Stikkelsbærmarmelade øko,5707446009226,Fynbo,340 g,jar,true,glass,clear
8829,Basilikum øko,5712874952570,Salling ØKO,15 g,cup-tub,true,plastic,clear
8834,Ansjoser i fileter,8005960510851,Rizzoli,40 g,tray,true,plastic,clear
8837,Tomatsauce m. chilismag,5708229127144,Zelected,500 g,jar,true,glass,clear
8838,Brune kaffefiltre,5712873838899,Salling,,sleeve,false,plastic,clear
8841,Tofu m. krydderurter øko,5711988005073,Oriental Chef,200 g,sleeve,true,plastic,clear
8842,Remoulade vegansk,5701116016941,Svansø,230 g,bottle,true,plastic,clear
8844,Øko. Stødt kanel,5710959093644,Karlsens,65 g,bag,true,plastic,clear
8852,Ajvar medium,8699073292416,Melis,680 g,jar,true,glass,clear
8853,Abrikosmarmelade,5712872600961,Dalfour,284 g,jar,true,glass,clear
8855,Brun sauce øko,5701116016439,Svansø,250 g,jar,true,glass,clear
8858,Fint salt m. selleri,7311311017056,Santa Maria,127 g,jar,true,glass,clear
8859,Stødt kanel,7311311014062,Santa Maria,210 g,jar,true,plastic,clear
8860,Karry mango,7311311015946,Santa Maria,41 g,jar,true,glass,clear
8863,Instant kaffe medium,8711000396360,Café Noir,185 g,jar,true,glass,clear
8868,Gelatinepulver,7315200155416,Tørsleffs,65 g,cup-tub,true,plastic,white
8869,"Ribs-, solbær- og hindbærmarmelade",5712871479018,Skælskør Frugtplantage,265 g,jar,true,glass,clear
8872,Instant Kaffe Flødekaramel,5060169982062,Beanies,50 g,jar,true,glass,clear
8875,Jordbærmarmelade u. tilsat sukker,5707446568006,Fynbo,240 g,jar,true,glass,clear
8876,Hindbær/blåbær,5707446568686,Fynbo Delight,"0,24 kg",jar,true,glass,clear
8883,Lys sirup øko,7310340727172,Dansukker,750 g,bottle,true,plastic,clear
8890,Jordbærmarmelade,5707446537002,Fynbo,400 g,jar,true,glass,clear
8892,Ribsgelé øko,5707446009172,Fynbo,340 g,jar,true,glass,clear
8894,Figenmarmelade,5712874899257,Salling,225 g,jar,true,glass,clear
8903,Ras El Hanout,5010338102913,Al'Fez,42 g,jar,true,glass,clear
8910,Mayonnaise m. chili fedtreduceret,5703161812356,Easis,250 g,jar,true,glass,clear
8913,Aioli vegansk,5701116016927,Svansø,210 g,bottle,true,plastic,clear
8915,Tahina,8697440708836,,454 g,jar,true,plastic,white
8916,Artiskok pesto,5712873838035,Salling,190 g,jar,true,glass,clear
8920,Hele kaffebønner mørkristet øko,6420101884097,Segafredo Zanetti,425 g,bag,true,plastic,white
8921,Classique Formalet Kaffe,8000070044357,Carte Noire,400 g,bag,true,plastic,black
8927,Krymmel blå,5711243104152,Sweetkitchen,40 g,jar,true,glass,clear
8931,Blandede oliven øko,5710361101517,Foodmood,295 g,jar,true,glass,clear
8935,Pastafarve sort,5711243103711,Sweetkitchen,25 g,jar,true,plastic,black
8939,Smørepålæg m. hasselnødder og kakao,5714268200014,Goodgood,280 g,jar,true,glass,clear
8944,Kimchi mild øko,7315200184669,Green Choice,350 g,jar,true,glass,clear
8947,Tandoori,7311311015953,Santa Maria,35 g,jar,true,glass,clear
8948,Groftmalet sort peber,7311311014055,Santa Maria,59 g,jar,true,glass,clear
8951,Østerssauce,78895300017,Lee Kum Kee,255 g,bottle,true,glass,clear
8952,Citrus-og hyldeblomstmarmelade,5701018045797,Den Gamle Fabrik,380 g,jar,true,glass,clear
8954,Kakaocreme 30% kakao,5712871112878,Princip,200 g,jar,true,glass,clear
8956,Mayonnaise øko,5765228400074,Urtekram,370 ml,jar,true,glass,clear
8957,Lakridssauce,5709521036912,Odense,175 g,bottle,true,plastic,black
8959,Hele nelliker,5710959092371,Karlsens,30 g,sleeve,true,plastic,clear
8960,Citronpeber,5710959092258,Karlsens,55 g,bag,true,plastic,clear
8964,Oregano øko,5765228769102,Urtekram,6 g,can,true,metal,black
8967,Teriyaki- og barbecuesauce m. honning,8715035310308,Kikkoman,250 ml,bottle,true,glass,clear
8969,Appelsinmarmelade m. champagne,637793000964,Mackays,340 g,jar,true,glass,clear
8975,Peberrodscreme,4007745083936,Rival,140 g,jar,true,glass,clear
8976,Black Instant Kaffe,7613036303293,Nescafé,200 g,jar,true,glass,clear
8978,Pastasauce m. urter,5710405004675,Barilla,400 g,jar,true,glass,clear
8981,Enebær øko,5765228718285,Urtekram,23 g,can,true,metal,black
8986,Hybenmarmelade,5701211012657,Den Gamle Fabrik,"0,38 kg",jar,true,glass,clear
8990,Crema Instant Kaffe,7613036352697,Nescafé,100 g,jar,true,glass,clear
8996,Mango- og karrymayonnaise,5708308601206,Big Farm Boys,230 g,jar,true,glass,clear
8997,Fusilli m. ærteprotein,8016419200278,Dalla costa,"0,4 kg",bag,true,plastic,clear
9006,Tandoori sauce,5011308303248,Patak's,450 g,jar,true,glass,clear
9013,Cremet peanutbutter,5703161805297,Easis,200 g,jar,true,glass,clear
9014,Buffalo sauce,41500888200,Frank's,148 ml,bottle,true,glass,clear
9016,Ristede løg,5708229113567,Zelected,90 g,tray,true,plastic,black
9020,Solbærsyltetøj,5707446163027,Fynbo,210 g,jar,true,glass,clear
9022,Pastasauce m. chili øko,5712873370764,Salling ØKO,350 g,jar,true,glass,clear
9023,Tomatillo salsa,7311312006226,Santa Maria,155 g,bottle,true,glass,clear
